STOCK_CODES,PRODUCT,DATE,Wk,Week_Number,SOH,FLOORS,WEEKLY SALES,AVG_WK_SALES ,Range,Loft_Category,Group 1,Group 2
MA0234038           ,MARWAN COFFEE TABLE    ,29-Jun,5,27,0,15,4,1.83,Marwan,Coffee Table,DINE,CHR 
MA0234037           ,MARWAN BUFFET   ,29-Jun,5,27,1,18,1,1.08,Marwan,Buffet,OCCL,COFT
MA0234036           ,MARWAN ETU 140    ,29-Jun,5,27,10,14,1,0.58,Marwan,ETU,ENTU,ENTU
MA0234039           ,MARWAN ZIG ZAG SHELF     ,29-Jun,5,27,0,10,0,1,Marwan,Bookshelf,WLST,SHLF
MA023922,MARWAN CONSOLE 135    ,29-Jun,5,27,0,0,0,0,Marwan,Console,OCCL,CONT
ST0224720           ,STOLTZ STOOL,29-Jun,5,27,0,2,6,8.33,Stolz,Low stool,DINE,BARS
KO0079851           ,KOTE ZIG ZAG 120X30X180 ,20-Jun,4,26,25,16,0,4.25,Kote,Bookshelf,WLST,SHFU
KO0079852           ,KOTE ZIG ZAG 60X30X180   ,20-Jun,4,26,3,11,1,1.75,Kote,Bookshelf,WLST,SHFU
KO0083534           ,KOTE ZIG ZAG 120X30X110                 ,20-Jun,4,26,0,7,2,0.67,Kote,Bookshelf,WLST,SHFU
KO0079855           ,KOTE ZIG ZAG 120X30X75                  ,20-Jun,4,26,6,6,3,1.67,Kote,Bookshelf,WLST,SHFU
KO0079853           ,KOTE ZIG ZAG 60X30X110                  ,20-Jun,4,26,22,4,2,0.83,Kote,Bookshelf,WLST,SHFU
KO0079854           ,KOTE ZIG ZAG 60X30X75                   ,20-Jun,4,26,7,8,1,0.58,Kote,Bookshelf,WLST,SHFU
BE0224719           ,BENDALONG STOOL BLACK                   ,20-Jun,4,26,0,19,9,9.67,Bendy,Low Stool,DINE,BARS
JU0224714           ,JUDGES TRACTOR LOW STOOL BLACK          ,20-Jun,4,26,43,7,0,1.08,Judges,Bar Stool,DINE,BARS
JU0224715           ,JUDGES TRACTOR LOW STOOL WHITE          ,20-Jun,4,26,34,8,6,1.42,Judges,Bar Stool,DINE,BARS
JU0210222           ,JUDGES TRACTOR STOOL BLACK              ,20-Jun,4,26,172,23,36,20.9,Judges,Bar Stool,DINE,BARS
JU0210223           ,JUDGES TRACTOR STOOL WHITE              ,20-Jun,4,26,145,24,4,1.42,Judges,Bar Stool,DINE,BARS
JU0224713           ,JUDGES TRACTOR STOOL WHITEWASH,20-Jun,4,26,81,8,3,2.5,Judges,Bar Stool,DINE,BARS
AL0235274           ,ALESSIO CABINET,20-Jun,4,26,4,9,3,0.58,Alessio,Buffet,WLST,CBNT
MA0234040           ,MADE BUFFET,20-Jun,4,26,9,8,6,1.08,Made,Buffet,BUFT,BUFT
MA0235273           ,MADRID BUFFET   ,20-Jun,4,26,0,13,1,2,Madrid,Buffet,BUFT,BUFT
MA0234030           ,MARWAN DINING 200          ,20-Jun,4,26,0,13,6,3.67,Marwan,Dining Table,DINE,TBLE
MA0234031           ,MARWAN DINING 180 ,20-Jun,4,26,0,0,2,1.58,Marwan,Dining Table,DINE,TBLE
MA0234032           ,MARWAN DINING 160 ,20-Jun,4,26,0,0,1,0.58,Marwan,Dining Table,DINE,TBLE
MA0234035           ,MARWAN BENCH 190,20-Jun,4,26,2,14,5,2,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 170 ,20-Jun,4,26,0,0,0,0.58,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 150,20-Jun,4,26,0,0,1,0.17,Marwan,Bench Seat,DINE,CHR 
MA0234038           ,MARWAN COFFEE TABLE    ,20-Jun,4,26,0,15,3,1.83,Marwan,Coffee Table,DINE,CHR 
MA0234037           ,MARWAN BUFFET   ,20-Jun,4,26,1,18,3,1.08,Marwan,Buffet,OCCL,COFT
MA0234036           ,MARWAN ETU 140    ,20-Jun,4,26,10,14,3,0.58,Marwan,ETU,ENTU,ENTU
MA0234039           ,MARWAN ZIG ZAG SHELF     ,20-Jun,4,26,0,10,2,1,Marwan,Bookshelf,WLST,SHLF
MA023922,MARWAN CONSOLE 135    ,20-Jun,4,26,0,0,0,0,Marwan,Console,OCCL,CONT
ST0224720           ,STOLTZ STOOL,20-Jun,4,26,0,2,1,8.33,Stolz,Low stool,DINE,BARS
KO0079851           ,KOTE ZIG ZAG 120X30X180 ,13-Jun,3,25,0,16,2,3.58,Kote,Bookshelf,WLST,SHFU
KO0079852           ,KOTE ZIG ZAG 60X30X180   ,13-Jun,3,25,0,11,3,1.5,Kote,Bookshelf,WLST,SHFU
KO0083534           ,KOTE ZIG ZAG 120X30X110                 ,13-Jun,3,25,0,7,1,0.42,Kote,Bookshelf,WLST,SHFU
KO0079855           ,KOTE ZIG ZAG 120X30X75                  ,13-Jun,3,25,0,6,0,1.5,Kote,Bookshelf,WLST,SHFU
KO0079853           ,KOTE ZIG ZAG 60X30X110                  ,13-Jun,3,25,0,4,1,0.75,Kote,Bookshelf,WLST,SHFU
KO0079854           ,KOTE ZIG ZAG 60X30X75                   ,13-Jun,3,25,6,8,0,0.5,Kote,Bookshelf,WLST,SHFU
BE0224719           ,BENDALONG STOOL BLACK                   ,13-Jun,3,25,6,19,4,9.25,Bendy,Low Stool,DINE,BARS
JU0224714           ,JUDGES TRACTOR LOW STOOL BLACK          ,13-Jun,3,25,0,0,2,0,Judges,Bar Stool,DINE,BARS
JU0224715           ,JUDGES TRACTOR LOW STOOL WHITE          ,13-Jun,3,25,0,0,7,0,Judges,Bar Stool,DINE,BARS
JU0210222           ,JUDGES TRACTOR STOOL BLACK              ,13-Jun,3,25,234,23,52,19.25,Judges,Bar Stool,DINE,BARS
JU0210223           ,JUDGES TRACTOR STOOL WHITE              ,13-Jun,3,25,183,24,11,5.75,Judges,Bar Stool,DINE,BARS
JU0224713           ,JUDGES TRACTOR STOOL WHITEWASH,13-Jun,3,25,0,0,0,0,Judges,Bar Stool,DINE,BARS
AL0235274           ,ALESSIO CABINET,13-Jun,3,25,10,9,1,0.08,Alessio,Buffet,WLST,CBNT
MA0234040           ,MADE BUFFET,13-Jun,3,25,0,8,4,0.83,Made,Buffet,BUFT,BUFT
MA0235273           ,MADRID BUFFET   ,13-Jun,3,25,0,13,3,1.42,Madrid,Buffet,BUFT,BUFT
MA0234030           ,MARWAN DINING 200          ,13-Jun,3,25,0,13,5,2.67,Marwan,Dining Table,DINE,TBLE
MA0234031           ,MARWAN DINING 180 ,13-Jun,3,25,0,0,5,1,Marwan,Dining Table,DINE,TBLE
MA0234032           ,MARWAN DINING 160 ,13-Jun,3,25,0,0,0,0.25,Marwan,Dining Table,DINE,TBLE
MA0234035           ,MARWAN BENCH 190,13-Jun,3,25,9,14,4,0.42,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 170 ,13-Jun,3,25,0,0,1,0.42,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 150,13-Jun,3,25,0,0,0,0,Marwan,Bench Seat,DINE,CHR 
MA0234038           ,MARWAN COFFEE TABLE    ,13-Jun,3,25,0,15,0,1.25,Marwan,Coffee Table,DINE,CHR 
MA0234037           ,MARWAN BUFFET   ,13-Jun,3,25,5,18,1,0.75,Marwan,Buffet,OCCL,COFT
MA0234036           ,MARWAN ETU 140    ,13-Jun,3,25,14,14,0,0.25,Marwan,ETU,ENTU,ENTU
MA0234039           ,MARWAN ZIG ZAG SHELF     ,13-Jun,3,25,0,10,3,0.83,Marwan,Bookshelf,WLST,SHLF
MA023922,MARWAN CONSOLE 135    ,13-Jun,3,25,0,0,0,0,Marwan,Console,OCCL,CONT
ST0224720           ,STOLTZ STOOL,13-Jun,3,25,0,2,6,10,Stolz,Low stool,DINE,BARS
KO0079851           ,KOTE ZIG ZAG 120X30X180 ,7-Jun,2,24,4,20,3,4.17,Kote,Bookshelf,WLST,SHFU
KO0079852           ,KOTE ZIG ZAG 60X30X180   ,7-Jun,2,24,0,13,1,1.42,Kote,Bookshelf,WLST,SHFU
KO0083534           ,KOTE ZIG ZAG 120X30X110                 ,7-Jun,2,24,0,5,1,0.9,Kote,Bookshelf,WLST,SHFU
KO0079855           ,KOTE ZIG ZAG 120X30X75                  ,7-Jun,2,24,0,4,6,1.92,Kote,Bookshelf,WLST,SHFU
KO0079853           ,KOTE ZIG ZAG 60X30X110                  ,7-Jun,2,24,20,6,1,0.58,Kote,Bookshelf,WLST,SHFU
KO0079854           ,KOTE ZIG ZAG 60X30X75                   ,7-Jun,2,24,1,7,0,1.08,Kote,Bookshelf,WLST,SHFU
BE0224719           ,BENDALONG STOOL BLACK                   ,7-Jun,2,24,0,17,8,8.42,Bendy,Low Stool,DINE,BARS
JU0224714           ,JUDGES TRACTOR LOW STOOL BLACK          ,7-Jun,2,24,0,0,3,0,Judges,Bar Stool,DINE,BARS
JU0224715           ,JUDGES TRACTOR LOW STOOL WHITE          ,7-Jun,2,24,0,0,7,0,Judges,Bar Stool,DINE,BARS
JU0210222           ,JUDGES TRACTOR STOOL BLACK              ,7-Jun,2,24,76,23,17,25.05,Judges,Bar Stool,DINE,BARS
JU0210223           ,JUDGES TRACTOR STOOL WHITE              ,7-Jun,2,24,97,25,6,11.25,Judges,Bar Stool,DINE,BARS
JU0224713           ,JUDGES TRACTOR STOOL WHITEWASH,7-Jun,2,24,0,0,6,0,Judges,Bar Stool,DINE,BARS
AL0235274           ,ALESSIO CABINET,7-Jun,2,24,0,9,0,0.75,Alessio,Buffet,WLST,CBNT
MA0234040           ,MADE BUFFET,7-Jun,2,24,0,17,8,1.67,Made,Buffet,BUFT,BUFT
MA0235273           ,MADRID BUFFET   ,7-Jun,2,24,0,13,1,2.42,Madrid,Buffet,BUFT,BUFT
MA0234030           ,MARWAN DINING 200          ,7-Jun,2,24,0,12,4,4.17,Marwan,Dining Table,DINE,TBLE
MA0234031           ,MARWAN DINING 180 ,7-Jun,2,24,0,0,3,1.92,Marwan,Dining Table,DINE,TBLE
MA0234032           ,MARWAN DINING 160 ,7-Jun,2,24,0,0,0,0.75,Marwan,Dining Table,DINE,TBLE
MA0234035           ,MARWAN BENCH 190,7-Jun,2,24,0,15,0,2.25,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 170 ,7-Jun,2,24,0,0,2,0.67,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 150,7-Jun,2,24,0,0,0,0.33,Marwan,Bench Seat,DINE,CHR 
MA0234038           ,MARWAN COFFEE TABLE    ,7-Jun,2,24,0,14,2,2.25,Marwan,Coffee Table,DINE,CHR 
MA0234037           ,MARWAN BUFFET   ,7-Jun,2,24,0,19,4,1.58,Marwan,Buffet,OCCL,COFT
MA0234036           ,MARWAN ETU 140    ,7-Jun,2,24,0,17,1,1,Marwan,ETU,ENTU,ENTU
MA0234039           ,MARWAN ZIG ZAG SHELF     ,7-Jun,2,24,0,11,2,1.17,Marwan,Bookshelf,WLST,SHLF
MA023922,MARWAN CONSOLE 135    ,7-Jun,2,24,0,0,0,0.08,Marwan,Console,OCCL,CONT
ST0224720           ,STOLTZ STOOL,7-Jun,2,24,0,2,0,3.58,Stolz,Low stool,DINE,BARS
KO0079851           ,KOTE ZIG ZAG 120X30X180 ,26-May,1,23,0,18,0,2.67,Kote,Bookshelf,WLST,SHFU
KO0079852           ,KOTE ZIG ZAG 60X30X180   ,26-May,1,23,0,12,5,1.25,Kote,Bookshelf,WLST,SHFU
KO0083534           ,KOTE ZIG ZAG 120X30X110                 ,26-May,1,23,4,7,0,2.67,Kote,Bookshelf,WLST,SHFU
KO0079855           ,KOTE ZIG ZAG 120X30X75                  ,26-May,1,23,0,12,3,1.25,Kote,Bookshelf,WLST,SHFU
KO0079853           ,KOTE ZIG ZAG 60X30X110                  ,26-May,1,23,4,7,0,0.5,Kote,Bookshelf,WLST,SHFU
KO0079854           ,KOTE ZIG ZAG 60X30X75                   ,26-May,1,23,7,6,0,0.83,Kote,Bookshelf,WLST,SHFU
BE0224719           ,BENDALONG STOOL BLACK                   ,26-May,1,23,29,17,11,8.92,Bendy,Low Stool,DINE,BARS
JU0224714           ,JUDGES TRACTOR LOW STOOL BLACK          ,26-May,1,23,46,7,0,1.17,Judges,Bar Stool,DINE,BARS
JU0224715           ,JUDGES TRACTOR LOW STOOL WHITE          ,26-May,1,23,42,8,4,0.83,Judges,Bar Stool,DINE,BARS
JU0210222           ,JUDGES TRACTOR STOOL BLACK              ,26-May,1,23,293,23,28,14.83,Judges,Bar Stool,DINE,BARS
JU0210223           ,JUDGES TRACTOR STOOL WHITE              ,26-May,1,23,213,24,14,4.42,Judges,Bar Stool,DINE,BARS
JU0224713           ,JUDGES TRACTOR STOOL WHITEWASH,26-May,1,23,92,7,3,1.17,Judges,Bar Stool,DINE,BARS
AL0235274           ,ALESSIO CABINET,26-May,1,23,11,3,0,0.01,Alessio,Buffet,WLST,CBNT
MA0234040           ,MADE BUFFET,26-May,1,23,24,7,2,1.25,Made,Buffet,BUFT,BUFT
MA0235273           ,MADRID BUFFET   ,26-May,1,23,22,7,0,0.75,Madrid,Buffet,BUFT,BUFT
MA0234030           ,MARWAN DINING 200          ,26-May,1,23,0,13,3,0.42,Marwan,Dining Table,DINE,TBLE
MA0234031           ,MARWAN DINING 180 ,26-May,1,23,0,0,1,0.25,Marwan,Dining Table,DINE,TBLE
MA0234032           ,MARWAN DINING 160 ,26-May,1,23,0,0,2,0.08,Marwan,Dining Table,DINE,TBLE
MA0234035           ,MARWAN BENCH 190,26-May,1,23,14,13,2,0.42,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 170 ,26-May,1,23,0,0,2,0.17,Marwan,Bench Seat,DINE,CHR 
MA0234034,MARWAN BENCH 150,26-May,1,23,0,0,0,0.08,Marwan,Bench Seat,DINE,CHR 
MA0234038           ,MARWAN COFFEE TABLE    ,26-May,1,23,4,15,5,0.75,Marwan,Coffee Table,DINE,CHR 
MA0234037           ,MARWAN BUFFET   ,26-May,1,23,12,17,2,0.17,Marwan,Buffet,OCCL,COFT
MA0234036           ,MARWAN ETU 140    ,26-May,1,23,15,14,0,0.17,Marwan,ETU,ENTU,ENTU
MA0234039           ,MARWAN ZIG ZAG SHELF     ,26-May,1,23,0,13,0,0.42,Marwan,Bookshelf,WLST,SHLF
MA023922,MARWAN CONSOLE 135    ,26-May,1,23,0,0,0,0.42,Marwan,Console,OCCL,CONT
ST0224720           ,STOLTZ STOOL,26-May,1,23,0,6,9,12.83,Stolz,Low stool,DINE,BARS
